doi,journal,volume,issue,editor,submitted,revised,decision,accepted,online,finalversion,issueonline,issuedate
10.1111/j.1461-0248.2007.01125.x,Ecology Letters,0,11,Minus van,2007-07-19,NA,2007-08-28,2007-10-02,2007-11-16,NA,2007-11-16,2008-01-01
10.1890/10-0999.1,Ecology,92,04,NA,2010-05-20,2010-09-27,NA,2010-10-05,2011-05-03,NA,NA,2011-04-01
10.1890/es11-00287.1,Ecosphere,3,02,J. Drake,2011-10-11,2011-12-19,NA,2012-01-06,2012-02-21,2012-02-07,NA,2012-02-01
10.1525/cond.2011.113.3.cover,The Condor,113,08,NA,NA,NA,NA,NA,2013-12-31,NA,NA,2011-08-01
10.7717/peerj.157,PeerJ,1,09,Ludmila Chistoserdova,2013-05-01,NA,NA,2013-08-20,2013-09-12,NA,NA,NA
10.1098/rspb.2011.2380,Proceedings of the Royal Society B: Biological Sciences,279,01,NA,2011-11-11,NA,NA,2011-12-06,2012-05-22,NA,NA,2012-05-22
10.1098/rsbl.2013.1066,Biology Letters,10,04,NA,2013-12-16,NA,NA,2014-03-11,NA,NA,NA,2014-04-01
10.1111/j.1461-0248.2005.00779.x,Ecology Letters,8,08,Michael Hochberg,2005-04-08,NA,NA,2005-04-21,2005-06-23,NA,2005-06-23,2005-08-01
10.1890/11-0825.1,Ecology,93,02,N. Underwoo,2011-05-06,2011-07-20,NA,2011-08-05,2012-04-12,NA,NA,2012-02-01
10.1890/es12-00411.1,Ecosphere,4,05,S. L. Collins,2012-12-26,2013-02-25,NA,2013-02-26,2013-05-02,2013-04-02,NA,2013-05-01
10.1650/8201.1,The Condor,109,list(NULL),NA,2006-07-07,NA,NA,2007-03-07,2009-01-19,NA,NA,2007-08-01
10.7717/peerj.329,PeerJ,2,04,Dany Garant,2013-10-23,NA,NA,2014-03-12,2014-04-01,NA,NA,NA
10.1098/rspb.2011.0019,Proceedings of the Royal Society B: Biological Sciences,278,02,NA,2011-01-04,NA,NA,2011-01-17,2011-09-22,NA,NA,2011-09-22
