"doi","journal","url","editor","received","accepted","online","final_version","issue","first_decision","second_decision","third_decision","fourth_decision","preprint","issueonline","revised1","revised2","revised3","revised4","error"
"10.1371/journal.pone.0038066","PLoS ONE",NA,"Brock Fenton",2011-09-17,2012-04-30,2012-06-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0029642","PLoS ONE",NA,"Jerome Chave",2011-05-23,2011-12-02,2012-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0092453","PLoS ONE",NA,"R Mark Brigham",2013-11-22,2014-02-21,2014-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0008413","PLoS ONE",NA,"Stuart Humphries",2009-06-06,2009-11-25,2009-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0100889","PLoS ONE",NA,"Keping Ma",2013-09-27,2014-05-30,2014-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0042121","PLoS ONE",NA,"Keith A Crandall",2012-02-29,2012-07-02,2012-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0088178","PLoS ONE",NA,"Dafeng Hui",2013-09-09,2014-01-03,2014-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0088170","PLoS ONE",NA,"Yan Ropert-Coudert",2013-09-19,2014-01-05,2014-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0099699","PLoS ONE",NA,"Matthew Germino",2014-01-22,2014-05-17,2014-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0082969","PLoS ONE",NA,"Daniel E Duplisea",2012-10-23,2013-11-05,2013-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0049393","PLoS ONE",NA,"Luis A Nunes Amaral",2012-03-30,2012-10-11,2012-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.1001569","PLoS Biology",NA,"Georgina M Mace",2012-05-16,2013-04-17,2013-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0036701","PLoS ONE",NA,"Howard Browman",2012-01-09,2012-04-05,2012-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0087245","PLoS ONE",NA,"Francesco de Bello",2013-07-16,2013-12-19,2014-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0028601","PLoS ONE",NA,"Jane Catherine Stout",2011-04-13,2011-11-11,2011-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0016050","PLoS ONE",NA,"Stuart Humphries",2010-08-25,2010-12-06,2011-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0028660","PLoS ONE",NA,"Wayne M Getz",2011-07-28,2011-11-12,2011-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0074694","PLoS ONE",NA,"Jane M Waterman",2013-04-10,2013-08-07,2013-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0007367","PLoS ONE",NA,"Michael Somers",2009-05-21,2009-09-02,2009-10-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0011567","PLoS ONE",NA,"Tamara Natasha Romanuk",2010-05-10,2010-06-17,2010-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0070547","PLoS ONE",NA,"Simon Thrush",2013-01-25,2013-06-20,2013-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0049377","PLoS ONE",NA,"Stephanie M Carlson",2012-05-18,2012-10-11,2012-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0091235","PLoS ONE",NA,"Simon Thrush",2013-09-18,2014-02-08,2014-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0040997","PLoS ONE",NA,"Sebastian C A Ferse",2012-01-06,2012-06-18,2012-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0049582","PLoS ONE",NA,"Marco Festa-Bianchet",2012-06-19,2012-10-11,2012-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0053777","PLoS ONE",NA,"Brock Fenton",2012-04-15,2012-12-05,2013-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0024378","PLoS ONE",NA,"Adina Maya Merenlender",2010-10-14,2011-08-09,2011-09-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0053742","PLoS ONE",NA,"Simon Thrush",2012-09-21,2012-12-03,2013-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0070491","PLoS ONE",NA,"Han Y H Chen",2013-03-19,2013-06-20,2013-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0041100","PLoS ONE",NA,"Hans Henrik Bruun",2011-11-16,2012-06-21,2012-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0028459","PLoS ONE",NA,"Brock Fenton",2011-09-02,2011-11-08,2011-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0070454","PLoS ONE",NA,"Maura Geraldine Chapman",2013-04-02,2013-06-19,2013-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0039453","PLoS ONE",NA,"Jo~ao Pinto",2012-03-13,2012-05-21,2012-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pntd.0000176","PLoS Neglected Tropical Diseases",NA,"Marcia Caldas de Castro",2007-07-12,2008-01-03,2008-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0073036","PLoS ONE",NA,"Athanassios C Tsikliras",2013-04-05,2013-07-15,2013-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.0050272","PLoS Biology",NA,"Georgina M Mace",2006-05-15,2007-08-17,2007-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0089807","PLoS ONE",NA,"Matt Hayward",2013-08-18,2014-01-27,2014-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0077158","PLoS ONE",NA,"Luzia Helena Carvalho",2013-04-03,2013-08-30,2013-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0089837","PLoS ONE",NA,"Christopher Joseph Salice",2013-06-06,2014-01-14,2014-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0035165","PLoS ONE",NA,"Ben Bond-Lamberty",2012-01-14,2012-03-13,2012-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0064581","PLoS ONE",NA,"Just Cebrian",2012-12-08,2013-04-15,2013-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0022591","PLoS ONE",NA,"Steven J Bograd",2011-02-25,2011-06-28,2011-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0047894","PLoS ONE",NA,"Sean Walker",2012-06-03,2012-09-17,2012-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pbio.0050289","PLoS Biology",NA,"none",NA,NA,2007-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10.1371/journal.pone.0039571","PLoS ONE",NA,"Alexandra Weigelt",2011-09-15,2012-05-28,2012-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
