doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1890/13-0320.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0320.1,E Van Donk,2013-02-20,2013-07-30,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-07-29,NA,NA,NA,FALSE
10.1890/13-0379.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0379.1,A W DAmato,2013-02-26,2013-05-17,2013-10-16,NA,2013-10-01,NA,NA,NA,NA,NA,NA,2013-05-14,NA,NA,NA,FALSE
10.1890/13-0179.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0179.1,J R Rosenheim,2013-01-29,2013-05-02,2013-10-16,NA,2013-10-01,NA,NA,NA,NA,NA,NA,2013-04-29,NA,NA,NA,FALSE
10.1890/12-1471.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1471.1,L Stone,2012-08-28,2013-05-14,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-03-12,NA,NA,NA,FALSE
10.1890/12-0725.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-0725.1,J J Stachowicz,2012-05-06,2013-04-29,2013-11-11,2013-05-30,2013-11-01,NA,NA,NA,NA,NA,NA,2013-04-10,NA,NA,NA,FALSE
10.1890/12-2021.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-2021.1,D F Doak,2012-11-18,2013-04-11,2013-10-16,NA,2013-10-01,NA,NA,NA,NA,NA,NA,2013-03-20,NA,NA,NA,FALSE
10.1890/13-0093.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0093.1,K O Winemiller,2013-01-17,2013-04-25,2013-10-16,NA,2013-10-01,NA,NA,NA,NA,NA,NA,2013-04-16,NA,NA,NA,FALSE
10.1890/12-1922.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/12-1922.1,J T Cronin,2012-11-01,2013-05-17,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-03-12,NA,NA,NA,FALSE
10.1890/13-0527.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0527.1,D E Schindler,2013-03-19,2013-05-23,2013-11-11,NA,2013-11-01,NA,NA,NA,NA,NA,NA,2013-05-20,NA,NA,NA,FALSE
10.1890/13-0217.1,Ecology,http://www.esajournals.org/doi/abs/10.1890/13-0217.1,H U Wittmer,2013-02-02,2013-05-20,2013-11-11,2013-05-29,2013-11-01,NA,NA,NA,NA,NA,NA,2013-05-14,NA,NA,NA,FALSE
