doi,journal,url,editor,received,accepted,online,final_version,issue,first_decision,second_decision,third_decision,fourth_decision,preprint,issueonline,revised1,revised2,revised3,revised4,error
10.1098/rsbl.2013.0049,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0049,NA,2013-01-17,2013-04-18,2013-05-08,NA,2013-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01733.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01733.x,Rosi Hails,2009-05-13,2009-10-18,2009-11-11,NA,2009-12-01,NA,NA,NA,NA,NA,2009-11-26,NA,NA,NA,NA,FALSE
10.1890/12-1101.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-1101.1,NA,2012-06-27,2012-11-01,2013-06-07,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-10-16,NA,NA,NA,FALSE
10.1098/rsbl.2012.1171,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2012.1171,NA,2012-12-18,2013-04-18,2013-05-08,NA,2013-08-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01712.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01712.x,NA,NA,NA,2009-10-01,NA,2009-10-01,NA,NA,NA,NA,NA,2009-10-01,NA,NA,NA,NA,FALSE
10.1890/11-2059.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/11-2059.1,NA,2011-11-17,2012-11-21,2013-06-07,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-10-10,NA,NA,NA,FALSE
10.1098/rsbl.2013.0027,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0027,NA,2013-01-10,2013-01-21,2013-02-13,NA,2013-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
10.1111/j.1365-2664.2009.01727_2.x,Journal of Applied Ecology,http://doi.wiley.com/10.1111/j.1365-2664.2009.01727_2.x,NA,NA,NA,2009-10-01,NA,2009-10-01,NA,NA,NA,NA,NA,2009-10-01,NA,NA,NA,NA,FALSE
10.1890/12-0563.1,Ecological Applications,http://www.esajournals.org/doi/abs/10.1890/12-0563.1,NA,2012-04-06,2012-11-21,2013-06-07,NA,2013-06-01,NA,NA,NA,NA,NA,NA,2012-09-07,NA,NA,NA,FALSE
10.1098/rsbl.2013.0011,Biology Letters,http://rsbl.royalsocietypublishing.org/cgi/doi/10.1098/rsbl.2013.0011,NA,2013-01-04,2013-01-21,2013-02-13,NA,2013-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
